|Item description|functional||brand|subbrand|variant|content|content_uom
136|Вода газ. "Из Черноголовки" Крем-сода 1л ст/б|Вода газ.|0|Из Черноголовки|Крем-сода||1|л
137|Вода газ. "Из Черноголовки" Саяны 1л ст/б|Вода газ.|0|Из Черноголовки|Саяны||1|л
138|Вода газ. "Из Черноголовки" Тархун 1л ст/б|Вода газ.|0|Из Черноголовки|Тархун||1|л
139|Вода газ. "Из Черноголовки" Экстра-ситро 1л ст/б|Вода газ.|0|Из Черноголовки|Экстра-ситро||1|л
140|Вода минер. "Evian" негаз. 0,33 л пл/б|Вода минер.|1|Evian||негаз.|0,33|л
141|Вода минер. "Evian" негаз. 0,33 л ст/б|Вода минер.|0|Evian||негаз.|0,33|л
142|Вода минер. "Evian" негаз. 0,5 л пл/б|Вода минер.|0|Evian||негаз.|0,5|л
143|Вода минер. "Evian" негаз. 0,75 л пл/б|Вода минер.|0|Evian||негаз.|0,75|л
144|Вода минер. "Evian" негаз. 0,75 л ст/б|Вода минер.|0|Evian||негаз.|0,75|л
145|Вода минер. "Evian" негаз. 1 л пл/б|Вода минер.|0|Evian||негаз.|1|л
146|Вода минер. "Evian" негаз. 1,5 л пл/б|Вода минер.|0|Evian||негаз.|1,5|л
147|Вода минер. "Panna" негаз. 0,25 л ст/б|Вода минер.|0|Panna||негаз.|0,25|л
148|Вода минер. "Panna" негаз. 0,5 л ст/б|Вода минер.|0|Panna||негаз.|0,5|л
149|Вода минер. "Panna" негаз. 0,75 л ст/б винт|Вода минер.|0|Panna||негаз.|0,75|л
150|Вода минер. "PERRIER" газ. лимон 0,33 л ст/б|Вода минер.|0|PERRIER||газ. лимон|0,33|л
151|Вода минер. "PERRIER" газ. лимон 0,75 л ст/б|Вода минер.|0|PERRIER||газ. лимон|0,75|л
152|Вода минер. "PERRIER" газ 0,2 л ст/б|Вода минер.|0|PERRIER||газ|0,2|л
153|Вода минер. "PERRIER" газ. 0,33 л ст/б|Вода минер.|0|PERRIER||газ.|0,33|л
154|Вода минер. "PERRIER" газ. 0,75 л ст/б|Вода минер.|0|PERRIER||газ.|0,75|л
155|Вода минер. "S,Pellegrino" газ. 0,25 л ст/б винт.|Вода минер.|0|S.Pellegrino||газ.|0,25|л
156|Вода минер. "S.Pellegrino" газ. 0,5 л ст/б|Вода минер.|0|S.Pellegrino||газ.|0,5|л
157|Вода минер. "S.Pellegrino" газ. 0,75 л ст/б|Вода минер.|0|S.Pellegrino||газ.|0,75|л
158|Вода минер. "Vittel" негаз. 0,25 л ст/б|Вода минер.|0|Vittel||негаз.|0,25|л
159|Вода минер. "Vittel" негаз. 0,33 л пл/б|Вода минер.|0|Vittel||негаз.|0,33|л
160|Вода минер. "Vittel" негаз. 0,5 л пл/б|Вода минер.|0|Vittel||негаз.|0,5|л
161|Вода минер. "Vittel" негаз. 0,5 л ст/б винт|Вода минер.|0|Vittel||негаз.|0,5|л
162|Вода минер. "Vittel" негаз. 0,75 л пл/б|Вода минер.|0|Vittel||негаз.|0,75|л
163|Вода минер. "Vittel" негаз. 1 л пл/б|Вода минер.|0|Vittel||негаз.|1|л
164|Вода минер. "Vittel" негаз. 1 л ст/б винт|Вода минер.|0|Vittel||негаз.|1|л
165|Вода минер. "Vittel" негаз. 1.5 л пл/б|Вода минер.|0|Vittel||негаз.|2|л
166|Вода минер. "Архыз" газ 0,5 л|Вода минер.|0|Архыз||газ|0,5|л
167|Вода минер. "Архыз" газ. 1,5 л пл/б|Вода минер.|0|Архыз||газ.|1,5|л
168|Вода минер. "Архыз" негаз 0,5 л|Вода минер.|0|Архыз||негаз|0,5|л
169|Вода минер. "Архыз" негаз. 1,5 л пл/б|Вода минер.|0|Архыз||негаз.|1,5|л
170|Вода минер. "Архыз" негаз. 5 л пл/б|Вода минер.|0|Архыз||негаз.|5|л
171|Вода минер. "Ессентуки №17" газ. 0,5 л ст/б (винт) (вимм-билль-данн)|Вода минер.|0|Ессентуки|№17|газ.|0,5|л
172|Вода минер. "Ессентуки №17" газ. 1,5 л пл/б|Вода минер.|0|Ессентуки|№17|газ.|1,5|л
173|Вода минер. "Ессентуки №20" газ. 0,5 л ст/б (винт) (вимм-билль-данн)|Вода минер.|0|Ессентуки|№20|газ.|0,5|л
174|Вода минер. "Ессентуки №4" газ. 0,5 л ст/б (винт) (вимм-билль-данн)|Вода минер.|0|Ессентуки|№4|газ.|0,5|л
175|Вода минер. "Ессентуки №4" Родники Кавказа газ. 0,5 л ст/б (винт)|Вода минер.|0|Ессентуки|№4|Родники Кавказа газ.|0,5|л
176|Вода минер. "Куртуа" газ. 0,5 л пл/б|Вода минер.|0|Куртуа||газ.|0,5|л
177|Вода минер. "Куртуа" негаз. 0,5 л пл/б|Вода минер.|0|Куртуа||негаз.|0,5|л
178|Вода минер. "Нагутская" лечебно-столовая газ. 1,5 л пл/б|Вода минер.|0|Нагутская||лечебно-столовая газ.|1,5|л
179|Вода минер. "Новотерская целебная" газ. 1,5 л пл/б|Вода минер.|0|Новотерская целебная||газ.|1,5|л
180|Вода минер. "Рычал-Су" газ. 0,5 л ст/б|Вода минер.|0|Рычал-Су||газ.|0,5|л
181|Вода минеральная "Нарзан" газ. 0,5 л ст/б|Вода минеральная|1|Нарзан||газ.|0,5|л
182|Вода минеральная "Нарзан" газ. 1 л пл/б|Вода минеральная|0|Нарзан||газ.|1|л
183|Вода питьевая "Aqua Minerale" Active негаз с лимоном (спорт) 0,6 л пл/б|Вода питьевая|1|Aqua Minerale||Active негаз с лимоном (спорт)|0,6|л
184|Вода питьевая "Aqua Minerale" Active негаз с лимоном 0,6 л пл/б|Вода питьевая|0|Aqua Minerale||Active негаз с лимоном|0,6|л
185|Вода питьевая "Aqua Minerale" газ. 0,6 л пл/б|Вода питьевая|0|Aqua Minerale||газ.|0,6|л
186|Вода питьевая "Aqua Minerale" газ. 1,25 л пл/б|Вода питьевая|0|Aqua Minerale||газ.|1,25|л
187|Вода питьевая "Aqua Minerale" газ. 2 л пл/б|Вода питьевая|0|Aqua Minerale||газ.|2|л
188|Вода питьевая "Aqua Minerale" негаз. 0,6 л пл/б|Вода питьевая|0|Aqua Minerale||негаз.|0,6|л
189|Вода питьевая "Aqua Minerale" негаз. 1,25 л пл/б|Вода питьевая|0|Aqua Minerale||негаз.|1,25|л
190|Вода питьевая "Aqua Minerale" негаз. 2 л пл/б|Вода питьевая|0|Aqua Minerale||негаз.|2|л
191|Вода питьевая "Aqua Minerale" негаз. 5 л диспенсер пл/б|Вода питьевая|0|Aqua Minerale||негаз.|5|л
192|Вода питьевая "Aqua Minerale" негаз. 5 л пл/б|Вода питьевая|0|Aqua Minerale||негаз.|5|л
193|Вода питьевая "BON AQUA" газ. 0,5 л пл/б|Вода питьевая|0|BON AQUA||газ.|0,5|л
194|Вода питьевая "BON AQUA" газ. 1 л пл/б|Вода питьевая|0|BON AQUA||газ.|1|л
195|Вода питьевая "BON AQUA" газ. 2 л пл/б|Вода питьевая|0|BON AQUA||газ.|2|л
196|Вода питьевая "BON AQUA" негаз. 0,5 л пл/б|Вода питьевая|0|BON AQUA||негаз.|0,5|л
197|Вода питьевая "BON AQUA" негаз. 1 л пл/б|Вода питьевая|0|BON AQUA||негаз.|1|л
198|Вода питьевая "BON AQUA" негаз. 2 л пл/бут|Вода питьевая|0|BON AQUA||негаз.|2|л
199|Вода питьевая "Калинов Родник" негаз. 6 л пл/б|Вода питьевая|0|Калинов Родник||негаз.|6|л
200|Вода питьевая "Святой Источник" газ. 0,33 л пл/б|Вода питьевая|0|Святой Источник||газ.|0,33|л
201|Вода питьевая "Святой Источник" газ. 1,5 л пл/б|Вода питьевая|0|Святой Источник||газ.|1,5|л
202|Вода питьевая "Святой Источник" негаз. 0,33 л пл/б|Вода питьевая|0|Святой Источник||негаз.|0,33|л
203|Вода питьевая "Святой Источник" негаз. 0,5 л пл/б|Вода питьевая|0|Святой Источник||негаз.|0,5|л
204|Вода питьевая "Святой Источник" негаз. 1,5 л пл/б|Вода питьевая|0|Святой Источник||негаз.|1,5|л
205|Вода питьевая "Святой Источник" негаз. 6 л пл/б|Вода питьевая|0|Святой Источник||негаз.|6|л
206|Вода питьевая "Селивановская" негаз. 0.5 л пл/б|Вода питьевая|0|Селивановская||негаз.|31.12.1899 12:00 PM|л
207|Вода питьевая "Селивановская" слабогаз. 0.5 л пл/б|Вода питьевая|0|Селивановская||штабогаз.|31.12.1899 12:00 PM|л
208|Вода питьевая "Черноголовская" негаз. 5 л пл/б|Вода питьевая|0|Черноголовская||негаз.|5|л
209|Вода питьевая "Шишкин лес" газированная. 0,4 л пл/б|Вода питьевая|0|Шишкин лес||газированная.|0,4|л
210|Вода питьевая "Шишкин лес" негаз. 0,4 л пл/б|Вода питьевая|0|Шишкин лес||негаз.|0,4|л
211|Вода питьевая "Шишкин Лес" негаз. 1 л пл/б|Вода питьевая|0|Шишкин Лес||негаз.|1|л
212|Вода питьевая "Шишкин Лес" негаз. 5 л пл/б|Вода питьевая|0|Шишкин Лес||негаз.|5|л
213|Вода питьевая "Шишкин лес" Спорт негаз. 0,4 л пл/б|Вода питьевая|0|Шишкин лес||Спорт негаз.|0,4|л
214|Вода питьевая "Шишкин Лес" Спорт негаз. 1 л пл/б|Вода питьевая|0|Шишкин Лес||Спорт негаз.|1|л
215|Вода питьевая "Эдельвейс" газ. 0,5 л пл/б|Вода питьевая|0|Эдельвейс||газ.|0,5|л
216|Гвоздика "Kotanyi" целая 18 г|Гвоздика|1|KOTANYI||целая|18|г
217|Гвоздика целая "Магия Востока" Арикон 10 г пакет 03920|Гвоздика целая|1|Магия Востока|Арикон||10|г
218|Гель "Persil" Gold концентрат 2,25 л пл/б|Гель|1|Persil|Gold|концентрат|2,25|л
219|Гель "Persil" Sensitive концентрат 2,25 л пл/б|Гель|0|Persil|Sensitive|концентрат|2,25|л
220|Гель "Баги" Жавель Лимон д/чистки сантехники 750 мл|Гель д/чистки сантехники|1|Баги|Жавель|Лимон |750|мл
221|Гель для душа "Axe" SHOCK 250 мл|Гель для душа|1|Axe|SHOCK||250|мл
222|Гель для душа "AXE" Temptation 250 мл|Гель для душа|0|AXE|Temptation||250|мл
223|Гель для душа "Nivea"  С натуральным экстрактом ромашки 250 мл 80825|Гель для душа|0|Nivea||С натуральным экстрактом ромашки|250|мл
224|Гель для душа "Nivea" для мужчин. Свежесть горной реки.250 мл|Гель для душа для мужчин.|1|Nivea||Свежесть горной реки.|250|мл
225|Гель для душа "Nivea" для мужчин. Спорт 250 мл арт.81078|Гель для душа для мужчин.|0|Nivea||Спорт|250|мл
226|Гель для душа "Palmolive" Гранат и Манго 250 мл|Гель для душа для мужчин.|0|Palmolive||ганат и Манго|250|мл
227|Гель для душа "Palmolive" Освежающий Активная свежесть д/мужчин 250 мл|Гель для душа|1|Palmolive||Освежающий Активная свежесть |250|мл
228|Гель-крем для душа "Palmolive" Натурэль Миндаль и увлажняющее молочко 250 мл|Гель-крем для душа|1|Palmolive|Натурэль|Миндаль и увлажняющее молочко|250|мл
229|Гель-крем для душа "Palmolive" Натурэль Молоко и мед 250 мл|Гель-крем для душа|0|Palmolive|Натурэль|Молоко и мед|250|мл
230|Говядина "Духовая" 2,3 кг|Говядина|1|Духовая|||2,3|кг
231|Говядина "Духовая" 2,5 кг|Говядина|0|Духовая|||2,5|кг
232|Говядина "Духовая" 2,8 кг|Говядина|0|Духовая|||2,8|кг
233|Говядина "Духовая" (Микоян) 2,74 кг|Говядина|0|Духовая|||2,74|кг
234|Говядина "Европейская" в/к нарезка (Останкино) 0,15 кг|Говядина|0|Европейская||в/к нарезка (Останкино)|0,15|кг
235|Говядина тушеная "БАРС" Экстра Высший сорт 325 г ж/б|Говядина тушеная|1|БАРС||Экстра Высший сорт|325|г
236|Горбуша " Аквамарин" натуральная в с/соку 245 г ж/б|Горбуша|1|Аквамарин||натуральная в с/соку|245|г
237|Горбуша "Штурман КФ" филе без кожи св/мор. 0,5 кг|Горбуша|0|Штурман КФ||филе без кожи св/мор.|0,5|кг
238|Горох  "Америя" шлифованный (колотый) 900 г пакет|Горох|1|Америя||шлифованный (колотый)|900|г
239|Горох  "Ангстрем" (целый) 900 г|Горох|0|Ангстрем||(целый)|900|г
240|Горох  "Мистраль" желтый (колотый) 500 г пакет|Горох|0|Мистраль||желтый (колотый)|500|г
241|Горох  "Мистраль" зеленый (колотый) 500 г пакет|Горох|0|Мистраль||зеленый (колотый)|500|г
242|Горох  "Щебекинский" шлифованный (колотый) 900 г пакет|Горох|0|Щебекинский||шлифованный (колотый)|900|г
