GTIN,BaseUnit,NetWeight,NetWeightUnitOfMeasure
7702018957880,PI,0.4,KGM
7702018032822,PI,0.4,KGM
3014260442040,PI,0.4,KGM
5013965442100,PI,192,KGM
3014260726164,PI,8,KGM
5013965406898,PI,192,KGM
5013965110368,PI,192,KGM
7702018032839,PI,1.6,KGM
5013965558887,PI,192,KGM
3014260331719,BI,0.11,KGM
3014260442279,PI,0.66,KGM
3014260726867,PI,1.32,KGM
5013965110450,PI,82.8,KGM
5013965299896,PI,79.2,KGM
5000174803365,BI,257,GRM
5000174891201,BI,257,GRM
7702018000289,BI,0.237,KGM
7702018000296,PI,1.422,KGM
5013965512681,PI,119.448,KGM
7702018007783,BI,0.315,KGM
7702018007790,PI,1.89,KGM
5013965528439,PI,90.72,KGM
7702018007882,BI,0.32,KGM
7702018007899,PI,1.92,KGM
5013965529665,PI,86.4,KGM
7702018008049,BI,0.2,KGM
7702018008056,PI,1.2,KGM
5013965528316,PI,57.6,KGM
7702018013128,BI,0.126,KGM
7702018013135,PI,3.024,KGM
5013965528606,PI,211.68,KGM
7702018018000,BA,0.119,KGM
7702018018017,PI,0.714,KGM
5013965533440,PI,102.816,KGM
7702018018055,BI,0.119,KGM
7702018018062,PI,0.714,KGM
5013965533464,PI,102.816,KGM
7702018018086,BI,0.107,KGM
7702018018093,PI,0.642,KGM
5013965533525,PI,57.78,KGM
7702018019298,BA,0.054,KGM
7702018019304,PI,3.24,KGM
5013965535635,PI,90.72,KGM
7702018021345,BA,0.125,KGM
7702018021352,PI,2.5,KGM
5013965533501,PI,120,KGM
7702018021420,BA,0.293,KGM
7702018021437,PI,2.93,KGM
5013965550614,PI,369.18,KGM
7702018023288,BA,0.08,KGM
7702018023295,PI,0.8,KGM
5013965536045,PI,61.6,KGM
7702018837090,BI,0.075,KGM
7702018840755,BI,0.07,KGM
7702018840762,PI,0.84,KGM
7702018840779,PI,5.04,KGM
5013965121012,PI,120.96,KGM
7702018840816,BI,0.021,KGM
7702018840823,PI,0.84,KGM
7702018840830,PI,0.84,KGM
5013965121036,PI,41.16,KGM
7702018841240,BI,0.1,KGM
7702018841257,PI,0.6,KGM
5013965517174,PI,30,KGM
7702018841370,BI,0.115,KGM
7702018841387,PI,0.69,KGM
5013965121067,PI,55.2,KGM
7702018844760,BI,0.027,KGM
7702018844777,PI,1.08,KGM
7702018844784,PI,1.08,KGM
5013965121609,PI,52.92,KGM
7702018849031,BI,0.035,KGM
7702018997879,PI,0.105,KGM
7702018849048,PI,0.84,KGM
7702018977130,PI,0.12,KGM
7702018906406,PI,0.12,KGM
7702018906420,PI,0.96,KGM
5013965300646,PI,69.12,KGM
7702018977147,PI,0.96,KGM
5013965473685,PI,69.12,KGM
5013965121944,PI,60.48,KGM
7702018997886,PI,0.84,KGM
5013965509896,PI,60.48,KGM
7702018849086,BI,0.007,KGM
7702018849093,PI,0.336,KGM
7702018849109,PI,4.032,KGM
5013965121968,PI,56.448,KGM
7702018850341,BI,0.04,KGM
7702018850358,PI,0.96,KGM
5013965239175,PI,69.12,KGM
7702018855698,BA,0.232,KGM
7702018866328,PI,1.392,KGM
7702018855742,PI,8.352,KGM
5013965309939,PI,150.336,KGM
7702018856428,BI,0.073,KGM
7702018856435,PI,0.438,KGM
7702018856442,PI,2.628,KGM
5013965233531,PI,78.84,KGM
5013965552854,PI,78.84,KGM
7702018865833,BI,0.05,KGM
7702018865840,PI,1.2,KGM
7702018865857,PI,1.2,KGM
5013965123832,PI,84,KGM
7702018867790,BI,0.02,KGM
7702018867806,PI,0.12,KGM
7702018867813,PI,0.72,KGM
5013965234705,PI,43.2,KGM
