GTIN|GLNofDataSupplier|NameOfDataSupplier|BaseUnit|NumberOfBaseUnitContained|ItemNameLongML_language_EN|ItemNameLongML_language_RU|ItemName_language_EN|ItemName_language_RU|DespatchUnit|OrderingUnit|ConsumerUnit|GLNofManufacturer|ManufacturersName|Content|ContentUnitOfMeasure|GrossWeightFNFTSS|GrossWeightUnitOfMeasure|NetWeight|NetWeightUnitOfMeasure|BasePriceDeclarationRelevant|VAT_RU|BrandNameML_language_EN|BrandNameML_language_RU|PLUDescriptionML_language_EN|PLUDescriptionML_language_RU|GPC|CountryOfOrigin|PackagingTypeFNF|MeasurementTradeItemHeight|MeasurementTradeItemHeightUnitOfMeasure|MeasurementTradeItemLengthDepth|MeasurementTradeItemLengthDepthUnitOfMeasure|MeasurementTradeItemWidth|MeasurementTradeItemWidthUnitOfMeasure|GTINofNextLowerPackagingItem|NumberOfNextLowerItemContained|PalletDataPalletTypeFNF|GTINCodedPallet|PalletDataPalletHandling|NumberOfLayersPerPallet|PalletDataPalletLoadingHeight|StorageStackingFactor|PalletDataPalletGrossWeight|SubBrand|NetVolume|NetVolumeUnitOfMeasure|functionalsHealthClaims|technoChemicalProperties|GTINofAssortmentComponent|ContentAssortmentNumberOfComponents|MarketingNameML_language_RU|ItemNameShortML_language_RU|VariableMeasureTradeItem|CountryOfLastProvenance|ColourSupplierNoCode|ColourColourCodeListAgency|RFIDSupport|PalletDataNumberOfDespatchUnitsPerPallet|BasePriceRelevantContent|BasePriceRelevantContentUnitOfMeasure|GTINofItemSubstitutedFor|InternalItemIDofSupplier|ItemName_language_EL|CataloguePriceOfInvoiceUnit|CataloguePriceCurrency|CataloguePricePriceBasis|CataloguePricePriceBasisUnitOfMeasure|certificateOfQualityNumber|certificateOfQualityStartDate|certificateOfQualityEndDate|DangerousGoodsLimitedQuantities|DrainedWeight|DrainedWeightUnitOfMeasure|GeneticalInformation|MinimumDurabilityFromProduction|MinimumDurabilityFromProductionTimeUnit|NutritionalValueReferenceValue|GrossCalorificValueKJ|ConvenienceLevel|nutritionalContentValueUnitOfMeasure|ENumberCode|MinimumDurabilityFromOpening|MinimumDurabilityFromOpeningTimeUnit|nutritionalCompositionCode|nutritionalCompositionPercentage|rawMaterialUsed|rawMaterialUsedUnitOfMeasure|RecommendedSalesPrice|RecommendedSalesPriceCurrency|ItemName_language_AR|BatchNumbered|TemperatureMinStorage|TemperatureMaxStorage|TemperatureUnitOfMeasure|CommodityNomenclatureOfForeign-economicActivity|RussianClassificationOfProductsByEconomicActivities|RussianClassificationOfProducts|PricingSegment|ItemName_language_BR|BrandNameML_language_AR|GTINofBaseUnit|FunctionalName_language_EN|variant|variantLanguage|NonPublicGLNList|dietaryInformation|StartValidityDateOfAddVersion|FunctionalName_language_RU|handlingInstructionCode|MinimumOrderQuantity|RackJobber|MinimumDurabilityFromArrival|MinimumDurabilityFromArrivalTimeUnit
7622300575267|4604955748605||PI|5|Vozdushny Black currant|ВОЗДУШНЫЙ смор.5x5х95гМЮ|||N|N|Y|||||485|GRM|475|GRM|||||||||WRP|215|MMT|55|MMT|77|MMT|7622300463663|5||||||||||||||||||||||||||609085|||||||||||||||||||||||||||||||||||||||7622300463663||||||10/29/2010||||||
7622300575274|4604955748605||PI|25|Vozdushny Black currant|ВОЗДУШНЫЙ смор.5x5х95гМЮ|||Y|Y|N|||||2574|GRM|2375|GRM|||||||||BX|81|MMT|287|MMT|215|MMT|7622300575267|5|202|N|RUP|4|1780|1|695240|||||||||||||||260||||609086|||||||||||||||||||||||||||||||||||||||7622300463663||||||10/29/2010|||1|||
7622300575243|4604955748605||PI|5|Vozdushny Cranberry|ВОЗДУШНЫЙ клюк.5x5х95гМЮ|||N|N|Y|||||485|GRM|475|GRM|||||||||WRP|215|MMT|55|MMT|77|MMT|7622300463694|5||||||||||||||||||||||||||609083|||||||||||||||||||||||||||||||||||||||7622300463694||||||10/29/2010||||||
7622300575298|4604955748605||PI|25|Vozdushny Cranberry|ВОЗДУШНЫЙ клюк.5x5х95гМЮ|||Y|Y|N|||||2574|GRM|2375|GRM|||||||||BX|81|MMT|287|MMT|215|MMT|7622300575243|5|202|N|RUP|4|1780|1|695240|||||||||||||||260||||609088|||||||||||||||||||||||||||||||||||||||7622300463694||||||10/29/2010|||1|||
7622300570415|4604955748605||PI|5|Vozdushny Raspberry|ВОЗДУШНЫЙ мал.5x5х95гМЮ|||N|N|Y|||||485|GRM|475|GRM|||||||||WRP|215|MMT|55|MMT|77|MMT|7622300463700|5||||||||||||||||||||||||||608598|||||||||||||||||||||||||||||||||||||||7622300463700||||||10/29/2010||||||
7622300570446|4604955748605||PI|25|Vozdushny Raspberry|ВОЗДУШНЫЙ мал.5x5х95гМЮ|||Y|Y|N|||||2574|GRM|2375|GRM|||||||||BX|81|MMT|287|MMT|215|MMT|7622300570415|5|202|N|RUP|4|1780|1|695240|||||||||||||||260||||608601|||||||||||||||||||||||||||||||||||||||7622300463700||||||10/29/2010|||1|||
7622300447458|4604955748605||PI|24|AG Hazelnuts Wafer|АГ тем.фунд.ваф 7х24х45г|||N|Y|Y|||||1165|GRM|1080|GRM|||||||||BX|107|MMT|187|MMT|83|MMT|7622300323493|24||||||||||||||||||||||||||785073|||||||||||||||||||||||||||||||||||||||7622300323493||||||10/18/2010||||||
7622300447434|4604955748605||PI|168|AG Hazelnuts Wafer|АГ тем.фунд.ваф 7х24х45г|||Y|Y|N|||||8500|GRM|7560|GRM|||||||||BX|123|MMT|595|MMT|195|MMT|7622300447458|7|202|N|RUP|9|1252|1|638500|||||||||||||||72||||785071|||||||||||||||||||||||||||||||||||||||7622300323493||||||11/19/2010|||1|||
7622300002404|4604955748605||BI|1|Carte Noire Expresso R&G|КАРТНУАР ЭСПР12х250г пак|CARTE NOIRE COFFEE-GROUND ESPRESSO|CARTE NOIRE КОФЕ МОЛОТЫЙ ЭСПРЕССО|N|N|Y|4601738999992|Kraft Foods Rus LLC|250|GRM|260|GRM|250|GRM|N|60|CARTE NOIRE||Carte Noire|КАРТНУАР ЭСП|10000111|FR|BG|135|MMT|83|MMT|50|MMT|||||||||||||||||||N|||||||||63359|||||||||||||365|804|||||||||||||||||||||||||7622300002404|COFFEE-GROUND|ESPRESSO|EN|||11/15/2010|КОФЕ МОЛОТЫЙ|||||
7622300492847|4604955748605||BA|1|Carte Noire R&G promo|КАРТ НУАР 6х2х250г Промо|CARTE NOIRE COFFEE-GROUND|CARTE NOIRE КОФЕ МОЛОТЫЙ|N|N|Y|4601738999992|Kraft Foods Rus LLC|2|PCE|1000|GRM|500|GRM||60|CARTE NOIRE||Carte Noire|КАРТ НУАР 6х|10000111||BX|168|MMT|280|MMT|100|MMT|||||||||||||||3117341654032|1|||N|||||||||849979|||||||||||||365|804|||||||||||||||||||||||||7622300492847|COFFEE-GROUND|||||12/6/2010|КОФЕ МОЛОТЫЙ|||||
